text	rating
Ich habe an der Benedict-Schule einen Lehrgang abgeschlossen, der mich fachlich und persönlich sehr weitergebracht hat. Das Team sowie die Schulleitung standen jederzeit unterstützend zur Seite und haben uns stets auf dem weiteren Weg begleitet.	5
Ich habe das Glück, von Herrn Achillefs Stertsos an der Bénédict School Luzern unterrichtet zu werden. Sein Unterricht ist klar strukturiert, praxisnah und inspiriert durch seine Begeisterung für die Informatik. Besonders spannend war seine Einführung in Neo4j sowie sein Unterricht zu objektorientierter Programmierung und Softwarearchitektur. Er erklärt verständlich, nimmt sich Zeit für Fragen und fördert jeden individuell. Ein herausragender Lehrer – absolut empfehlenswert!	4
Katastrophe - löschen negative Bewertungen.	1
Herr Achillefs Stertsos ist ein hervorragender Lehrer an der Benedict Schule Luzern, der umfangreiches Fachwissen in Neo4j, Software Engineering, agilen Scrum-Methoden, Schnittstellen, SQL sowie in der funktionalen und objektorientierten Programmierung vermittelt. Er versteht es, komplexe Themen verständlich und praxisnah aufzubereiten. Sein interaktiver Unterricht fördert den Austausch unter den Lernenden und motiviert zu eigenständigem Weiterdenken. Ich kann ihn jedem, der sich im Bereich Softwareentwicklung weiterbilden möchte, uneingeschränkt empfehlen.	5
Hi everyone. I am learning German intensive lesson B1 with Brazilian handsome teacher Leo now.He is very nice and patient and respect to all the students.He always smiles and laughs at class.I am really happy in his class. I am also very happy with this office manager Mr Stöckli.He is very polite respect and treat us as family member. I had a little bit trouble but he still respected me and found the solution . I am happy with his work.I am sure there will be excellent future in Benedict school. Lisa Bai	5
Ich habe zwei Ausbildungen bei der Benedict Schule Luzern absolviert. Es war eine lehrreiche Zeit und die Dozenten, wie auch die Schulleitung ging auf Wünsche und Äusserungen ein. Die Flexibilität an der Schule ist super. Der Unterricht wird aufgezeichnet, sodass man ihn jeder Zeit nachschauen kann und auch bei Absenzen nichts verpasst. Andere Schule können sich dabei noch massiv verbessern und sich ein Beispiel an der Benedict nehmen. Ich würde die Schule weiterempfehlen.	5
Ich bin sehr zufrieden mit meiner Zeit an der Schule Benedict! Die Dozenten sind nicht nur äußerst kompetent, sondern auch engagiert und hilfsbereit. Sie schaffen es, den Unterricht spannend und praxisnah zu gestalten. Die Organisation und die Betreuung durch das Schulteam sind ebenfalls top. Ich kann die Schule Benedict jedem empfehlen.	5
Ich habe sehr gute Erfahrungen gemacht und viel gelernt. Diese Schule kann ich jedem weiterempfehlen!	5
Die Benedict Schule Luzern ist eine absolute Enttäuschung. Mir wurden viele Dinge versprochen, wie z. B. eine garantierte Praktikumsstelle, aber nichts davon wurde eingehalten. Manche Lehrer konnten nicht einmal richtig Deutsch sprechen, und es kam vor, dass Lehrer während der Schulzeit Ferien machten. Zudem möchten viele Firmen nichts mit der Schule zu tun haben. Am schlimmsten ist, dass ich durch diese Schule ein ganzes Jahr meines Lebens verloren habe. Hier geht es nur ums Geld, nicht um die Schüler. Nicht empfehlenswert!	1
Ich habe die Handelsschule erfolgreich bei Benedict abgeschlossen und mich für den nächsten schritt als Technischer Kaufmann angemeldet. Das Lehrpersonal ist sehr kompetent und immer freundlich. Mit dem Schulleiter Herr Strub konnte ich alle Probleme/Fragen zum Schulgang noch bei der Beratung klären.	5
Die Sprachschule Benedikt bietet eine herausragende Lernumgebung, die durch Professionalität, innovative Lehrmethoden und eine einladende Atmosphäre überzeugt. Bereits der erste Kontakt ist durch das freundliche und hilfsbereite Team äußerst angenehm. Hier wird individuell auf die Bedürfnisse und Ziele der Lernenden eingegangen, was von Anfang an ein Gefühl der Wertschätzung und Unterstützung vermittelt.Die Lehrerinnen und Lehrer sind nicht nur fachlich hochqualifiziert, sondern bringen auch eine große Leidenschaft für den Unterricht mit. Sie verstehen es, komplexe Inhalte klar und praxisnah zu vermitteln, sodass Lernfortschritte schnell sichtbar werden. Besonders beeindruckend ist der interaktive Unterricht in kleinen Gruppen, der eine intensive Betreuung und aktive Teilnahme ermöglicht. So wird ein Lernumfeld geschaffen, in dem Sprachbarrieren schnell überwunden werden und die Freude am Lernen stets im Vordergrund steht.Die Kursgestaltung ist flexibel und vielseitig. Ob für Anfänger oder Fortgeschrittene, ob Intensivkurse oder berufsspezifische Sprachtrainings – bei der Sprachschule Benedikt gibt es für jeden das passende Angebot. Zudem wird der Einsatz moderner Lehrmaterialien und digitaler Tools gekonnt integriert, was den Lernprozess zusätzlich fördert und den Unterricht auf dem neuesten Stand der didaktischen Entwicklungen hält.Auch außerhalb der Unterrichtszeit bietet die Sprachschule zahlreiche Möglichkeiten, das Gelernte zu vertiefen. Sprachcafés, Tandemprogramme und kulturelle Veranstaltungen ermöglichen den direkten Austausch und das Anwenden der Sprache in authentischen Situationen. So wird die Sprachschule Benedikt nicht nur zu einem Ort des Lernens, sondern auch zu einer lebendigen Gemeinschaft.Ein besonderer Dank gilt Herrn Stöckli und Herrn Strup, die durch ihre engagierte und persönliche Betreuung den Lernprozess erheblich bereichert haben. Ihre geduldige und kompetente Unterstützung hat uns nicht nur fachlich weitergebracht, sondern auch die Motivation gesteigert, kontinuierlich das Beste aus den Kursen zu machen. Wir schätzen Ihre Hilfe sehr und sind dankbar für die herzliche Begleitung auf unserem Lernweg.Zusammenfassend überzeugt die Sprachschule Benedikt durch erstklassige Betreuung, hohe Qualität und eine angenehme Lernatmosphäre. Wer eine Sprachschule sucht, die fachliche Exzellenz mit persönlicher Betreuung verbindet, ist hier bestens aufgehoben.Liebe Grüße Ross und Ulla Furnari	4.5
Die Möglichkeit auf ein persönliches Beratungsgespräch, statt einen Infoabend mit weiteren Personen zu besuchen, fand ich sehr sympathisch. Auch die zentrale Lage, direkt am Bahnhof ist für mich perfekt.Diese Punkte und Empfehlungen im Freundeskreis, waren Gründe warum ich die Benedict-Schule kontaktiert habe. Und volà, nun habe ich das zweite Lehrjahr der Tageshandelsschule (KV) erfolgreich absolviert. Hatte ich Fragen wurden diese durch die Bereichsleitung oder der Sachbearbeitung kompetent, schnell und freundlich beantwortet. Die Dozierenden wissen, wie man Inhalte verständlich und locker vermittelt.Was ich besonders schätze: Hier wird einem wirklich zugehört und man wird ernst genommen. Das Sekretariat ist hilfsbereit und freundlich. Die Zeit hier ist auf jeden Fall eine wertvolle Erfahrung!	5
Top Service und super Dozenten. Ich habe vor Jahren das Bürofach und das Handelsdiplom dort gemacht. Ich kam auf meiner Laufband nicht weiter und so hatte ich ein Gespräch mit Thomas Strub. Super Beratung und er ging auf meine Wünsche ein. Jetzt werde ich ab März 25 den Lehrgang Höheres Wirtschaftsdiplom besuchen. Freue mich jetzt schon.	5
Ich besuche zurzeit der Benedict Schule Luzern für der Lehrgang Handelsschule. Qualifizierte Dozenten, eine hervorragende Lage und sehr freundliche Mitarbeiter im Sekretariat. Kann nur noch weiterempfehlen. Bin sehr glücklich, dass ich mich für Benedict entschieden habe! Dankeschön ????	5
Ich bin momentan im 2. Jahr meiner Grundausbildung als Kaufmann EFZ und absolviere gleichzeitig ein 2- Jähriges Praktikum an der Benedict-Schule. Sehr nette Dozierende mit ausserordentlich gutem Fachwissen. Liegt grade in der Nähe vom Bahnhof, also schnell erreichbar. Das Sekretariat ist sehr freundlich und hilfsbereit. Ich habe zwei sehr tolle Berufsbildnerinnen die mich sicher durch meinen Arbeitsalltag begleiten. Die Schule besitzt einen sehr grosszügigen Chef und Schulleiter. Die Schule bietet auch eine gute Versorgung für die Schüler an, wie zum Beispiel die Snackautomaten und Wasserspender. Ich bin im grossen und ganzen sehr zufrieden mit der Schule und freue mich auf die weiteren 2 Jahre.	5
Ich habe an der Benedict Schule Luzern die Handelsschule besucht und werde mich nun noch für das höhere Wirtschaftsdiplom anmelden. Qualifizierte Dozenten, eine gute Lage und sehr freundliche Mitarbeiter im Sekretariat. Insgesamt bin ich sehr zufrieden und freue mich bereits auf die nächste Weiterbildung.	5
Ist den Preis Wert. Gute Lehrer, gutes Prüfungssystem. Wird der Erwachsenen-Bildung gerecht	4
Ich habe meine Ausbildung bei der Benedict in Luzern gemacht. Ich bin mehr als nur Zufrieden und kann es jedem ans Herz legen. Die Dozenten sind herzliche Menschen und dank Ihnen konnten wir eine solch wunderbare Erfahrung machen. Ich würde diese Erfahrung immer wieder machen.	5
Ich bin Absolvent vom ersten Jahr in der THS A/23 und muss sagen dass dieses erste Jahr sehr toll war, vorallem unser Deutsch/Korrespondenz und Büroergonomielehrer Marco Vogel. Er hat uns immer super Zusammenfassungen von den Themen gegeben und die Lernziele top mit uns angeschaut. Dank ihm hatte ich in all seinen Fächern eine 6 im Durchschnitt. Im Unterricht konnte man auch immer seine Fragen stellen und es wurde auf jede eingegangen und wenn man richtig zuhört besteht man auch all seine Fächer. Bei ihm Unterricht zu haben ist wirklich Luxus, weil man so super Vorlagen zum lernen hat. Ungelogen der beste Lehrer den ich je hatte, grosses Lob geht raus an Marco.	5
"Die Schule Benedikt hat ein sehr vielseitiges und abwechslungsreiches Angebot an Weiterbildungen.
Die Handelsschule ist in 8 Monaten zu absolvieren. Anspruchsvoll sowie sehr attraktiv in einer solchen kurzen Etappe eine weiter Ausbildung zu meistern.
Die Schule bemüht sich deine Wünschen zu erfüllen und steht für Auskünfte mit einem Beratungsgespräch zu Verfügung. Die ich sehr geschätzt habe.
Ich würde die Schule weiterempfehlen."	5
sehr gute liebe lehrer????	5
Ich persönlich bin sehr zufrieden und kann die Schule nur weiterempfehlen. Kompetentes Team und sehr zuvorkommend. Ich freue mich auf die nächste Weiterbildung mit euch.	5
"Ich absolviere hier momentan das Handelsdiplom VSH. Die Schule ist an einem äusserst attraktiven Standort gelegen. Der Bahnhof ist gleich nebenan und auch das Parkhaus ist nicht weit. Die Schule selbst hat ein modernes Interieur.

Die Dozenten vermitteln die Lerninhalte hervorragend. So macht es wirklich Freude zu lernen. Gerne werde ich hier auch noch weiterführende Ausbildungen machen."	5
Ich frage mich wie der Bachelor funktioniert? Wen er gleich anerkannt ist wie wen man die BM hat, ist es dann nicht blöd die Bm zu machen? Dann kann ja jeder an die Schule oder? Bin mir unsicher, da ich Studieren nur mit Matura kenne. Steht es einem später im Weg, wenn man diese nicht hat? Zb wen man an einer anderen Schule den Master machen will?	5
Gute Weiterbildung zum Technischen Kaufmann	5
Die Bénédict-Schule BVS Luzern hat mir eine herausragende Erfahrung während meiner Weiterbildung zum Technischen Kaufmann mit eidgenössischem Fachausweis geboten. Die Schulleitung zeigt grosses Engagement, die Lehrgangsleitung ist professionell, und die Dozenten sind durchweg herausragend. Ihre praxisorientierte und motivierte Unterrichtsweise, stets auf dem neuesten Stand, hat die Lernatmosphäre bereichert. Das hybride Modell und die modularen Abschlüsse, insbesondere für das Höhere Wirtschaftsdiplom, haben den Unterricht äusserst angenehm gestaltet. Ich bin dankbar für die hochwertige Ausbildung und die unterstützende Atmosphäre. Sehr empfehlenswert!	5
"Ich durfte erfolgreich die Ausbildung zur Technischen Kauffrau mit eidg. FA absolvieren.
Besonders gefallen hat mir die vielseitige und flexible Art wann, wo, wie und welche Abschlüsse gemacht werden können."	4
"Ich habe meine Ausbildung zum technischen Kaufmann mit eidg. FA an dieser Wirtschaftsschule absolviert und möchte meine Erfahrungen teilen.

Die Lehrkräfte an dieser Schule zeichnen sich durch ein hohes Mass an Engagement aus. Sie sind stets bereit, den Studierenden zu helfen und sie auf ihrem Weg zum Erfolg zu unterstützen. Die Vermittlung von Wissen erfolgt nicht nur auf theoretischer Ebene, sondern auch durch praxisnahe Beispiele und Anwendungen, die einen direkten Bezug zur realen Geschäftswelt herstellen.

Die moderne Einrichtung der Schule trägt dazu bei, eine positive Lernumgebung zu schaffen. Die Ausstattung ist auf dem neusten Stand der Technik, was den Lernprozess effektiver und interessanter gestaltet. Die Kombination aus Präsenz- und Hybridunterricht ermöglicht eine flexible Teilnahme des Unterrichtes.

In den 2.5 Jahren an dieser Schule habe ich nicht nur fachlich viel gelernt, sondern auch persönlich enorm profitiert. Die praxisorientierte Ausbildung hat mir geholfen, meine beruflichen Ziele zu erreichen. Die Schule legt grossen Wert darauf, die Studierenden nicht nur akademisch, sondern auch persönlich zu fördern, was sich an diversen Kursangeboten ausserhalb des regulären Unterrichtes widerspiegelt.

Insgesamt kann ich die Benedict/ BVS Luzern uneingeschränkt weiterempfehlen. Sie bietet eine erstklassige Ausbildung, die meine Erwartungen bei weitem übertroffen haben. Die Kombination aus engagierten Dozenten, moderner Einrichtung und einer praxisorientierten Ausbildung macht diese Schule zu einer exzellenten Wahl für alle, die ihre Karriere im Bereich Wirtschaft vorantreiben möchten.

Gerne nutze ich diese Gelegenheit und möchte mich herzlich für die ausserordentliche erfolgreiche Zusammenarbeit bedanken. Die professionelle Unterstützung und das positive Ergebnis haben diese Zeit zu etwas Besonderem gemacht."	5
Ich habe an der Benedict Schule die Höhere Wirtschaftsschule absolviert und bin äusserst zufrieden mit meiner Erfahrung. Die Lehrkräfte sind fachkundig und engagiert. Zudem war die Atmosphäre an der Schule sehr freundlich und unterstützend, was das Lernen angenehm und effektiv gestaltete. Ich kann die Benedict Schule jedem empfehlen, der eine qualitativ hochwertige Ausbildung in Wirtschaft sucht.	5
Die Benedict Schule Luzern hat alle meine Erwartungen erfüllt. Die Lehrer zeichnen sich durch ihre Fachkompetenz und ihr Engagement aus. Sie gehen auf die individuellen Bedürfnisse der Schüler ein und schaffen eine anregende Lernumgebung. Die Infrastruktur ist modern und gut gepflegt. Ich habe es sehr geschätzt, dass in meinem Lehrgang der Unterricht hybrid durchgeführt wurde. Alles in allem kann ich die Benedict Luzern mit gutem Gewissen weiterempfehlen.	4
Ich habe darin von A1 bis B2 studiert. Wenn man einen guten Lehrer bekommt, hat man Glück. Aber wenn man eine schlechte Lehrerin bekommt (z. B. Amal Müller), kann man nichts dagegen tun... Sie ist sehr langweilig und kann einem das Prüfungsergebnis verderben, wenn man nicht jeden Tag zur Schule kommt. Ich denke, der Lehrer sollte das Wissen eines Schülers bewerten, nicht aber dessen Anwesenheit in der Schule …	1
There are good teachers but in general it depends on luck..... I think you should consider other alternatives to this school. Either you get a great teacher, like my friends, or you get a disaster. Unfortunately, there has not been a proper level of feedback from the school management.	1
Bad experience...I complained several times about a teacher and the school did nothing... I definitely do not recommend this school in Luzern	1
Unfortunately, I had a bad experience with a teacher in this school. Her name is Amal Müller. She is one the worst teachers I've ever seen and can ruin your test score in the final exam.	1
"Die Benedict-Schule Luzern ist eine tolle Bildungseinrichtung, die sich durch ihre qualifizierten Dozenten und ihre vielfältigen Bildungsmöglichkeiten auszeichnet.
Mein Eindruck von dieser Schule ist sehr positiv und ich möchte gerne meine Erfahrungen teilen. Ich absolviere zur Zeit die KV-Ausbildung.
Die Dozenten an der Benedict-Schule Luzern sind sehr engagiert, offen für Fragen und erklären den Stoff sehr gut. Auch gehen sie auf die verschiedenen Bedürfnisse der Schüler ein, was ich sehr schätze.

Das Sekretariat hat uns immer sehr herzlich empfangen und unterstützt. Die langen Öffnungszeiten und die Nähe zum Bahnhof fand ich super."	5
Hier wird man um sein Geld betrogen! Der Abteilungsleiter versucht sein Bestes aber die Kommunikation, Organisation und Kompetenz einiger Dozenten ist unterirdisch. Jede Woche zuhause 1h Youtube-Tutorials sind 1000x besser. Man bereut jedes mal den Weg in die Schule gegangen zu sein. Die Unterstützung bei der Praktikumssuche wurde im Voraus versprochen aber niemandem wurde geholfen. Die Applikationsentwickler haben nur Stellen als Systemtechniker empfohlen bekommen und umgekehrt. Die Schule ist das Geld auf keinen Fall wert!	1
Habe das KV gemacht und mache jetzt noch die verkürzte Informatiklehre. Freundliches Personal, helle, technisch einwandfreie Schulzimmer, Dozenten sind sehr praxisnah. Ca. 5 Gehminuten vom Bhf weg, Parkmöglichkeiten fürs Auto gibts auch genug, ideal. Bin insgesamt zufrieden.	5
"Bin sehr zufrieden. Da sich bei mir beruflich vieles verändert hat musste ich meinen Kurs kurz vor beginn kündigen. Ich konnte sehr gut mit Ihnen verhandeln und wir fanden eine supper lösung wegen der Schlussabrechnung, so dass es für beide Parteien fair ist.
Ich muss sagen ich bin sehr zufrieden und würde meinen nächsten kurs wieder bei der Benedictschule machen."	5
Es ist eine anspruchsvolle, aber sehr interessante Weiterbildung! Habe viel gelernt und bin froh, die Schule bei Benedict absolviert zu haben.	4
Ich habe den Lehrgang SVEB 1 bei der Benedict Schule abgeschlossen. Von der Anmeldung bis zum Zertifikat ist alles Reibungslos gelaufen. Die Schule ist an einem Top Standort direkt hinter dem Bahnhof Luzern (5min. Fussweg). Der Lehrgang wurde einfach, unkompliziert und praxisnah vermittelt. Die Räumlichkeiten sind hell und der jeweiligen Gruppengrösse angepasst. Das Preis-/Leistungsverhältnis stimmt. Ich würde mich wieder für einen Lehrgang bei der Benedict Schule Luzern entscheiden.	5
